"Bcell"	"MCL"	"BtoMCL_logFC"	"BtoMCL_adj.P.Val"	"combo.name"
"595"	"1"	"1"	" 0.534477323"	"2.206686e-44"	"595"
"9060"	"1"	"1"	" 0.240474076"	"1.372554e-43"	"9060"
"7412"	"1"	"1"	" 0.486603376"	"2.160046e-42"	"7412"
"28959"	"1"	"1"	" 0.379266477"	"9.857653e-38"	"28959"
"5168"	"1"	"1"	" 0.527606693"	"1.691200e-37"	"5168"
"6414"	"1"	"1"	" 0.530174230"	"4.459835e-36"	"6414"
"5730"	"1"	"1"	" 0.492383288"	"7.147103e-36"	"5730"
"5329"	"1"	"1"	" 0.173415277"	"3.946508e-35"	"5329"
"10563"	"1"	"1"	" 0.548757328"	"3.829973e-32"	"10563"
"10537"	"1"	"1"	" 0.437018647"	"3.705672e-32"	"10537"
"3561"	"1"	"1"	" 0.314068121"	"8.015049e-32"	"3561"
"5881"	"1"	"1"	" 0.154493766"	"3.778444e-31"	"5881"
"100507254"	"1"	"1"	"-0.226129394"	"5.703167e-31"	"100507254"
"133015"	"1"	"1"	" 0.114860993"	"7.384891e-31"	"133015"
"7076"	"1"	"1"	" 0.376951160"	"2.670016e-30"	"7076"
"55970"	"1"	"1"	" 0.175121366"	"2.916207e-30"	"55970"
"6282"	"1"	"1"	" 0.277589655"	"2.079279e-29"	"6282"
"51330"	"1"	"1"	" 0.164903741"	"1.124399e-28"	"51330"
"10170"	"1"	"1"	"-0.405578040"	"5.567129e-28"	"10170"
"1466"	"1"	"1"	" 0.301437592"	"1.412871e-27"	"1466"
"6284"	"1"	"1"	" 0.240706188"	"1.754759e-27"	"6284"
"26279"	"1"	"1"	" 0.358917398"	"6.287212e-27"	"26279"
"260436"	"1"	"1"	" 0.481731313"	"6.287212e-27"	"260436"
"9547"	"1"	"1"	" 0.418316920"	"1.219423e-26"	"9547"
"1174"	"1"	"1"	" 0.204445113"	"2.484626e-26"	"1174"
"1514"	"1"	"1"	" 0.269207412"	"6.462177e-26"	"1514"
"79135"	"1"	"1"	" 0.131430142"	"7.574432e-26"	"79135"
"58489"	"1"	"1"	" 0.187099631"	"1.368968e-25"	"58489"
"1072"	"1"	"1"	" 0.211150139"	"1.766763e-25"	"1072"
