"Bcell"	"MCLe"	"df"	"combo.name"
"595"	"1"	"1"	"1.946381e-29"	"595"
"9060"	"1"	"1"	"1.548355e-05"	"9060"
"7412"	"1"	"1"	"3.595914e-01"	"7412"
"28959"	"1"	"1"	"3.518608e-01"	"28959"
"5168"	"1"	"1"	"1.872929e-12"	"5168"
"6414"	"1"	"1"	"2.008946e-01"	"6414"
"5730"	"1"	"1"	"1.577371e-01"	"5730"
"5329"	"1"	"1"	"1.262009e-12"	"5329"
"10563"	"1"	"1"	"4.161444e-02"	"10563"
"10537"	"1"	"1"	"3.180533e-02"	"10537"
"3561"	"1"	"1"	"9.649325e-23"	"3561"
"5881"	"1"	"1"	"3.456493e-12"	"5881"
"100507254"	"1"	"1"	"5.806603e-25"	"100507254"
"133015"	"1"	"1"	"2.867754e-09"	"133015"
"7076"	"1"	"1"	"1.359185e-01"	"7076"
"55970"	"1"	"1"	"4.130965e-06"	"55970"
"6282"	"1"	"1"	"2.747966e-11"	"6282"
"51330"	"1"	"1"	"9.614686e-09"	"51330"
"10170"	"1"	"1"	"6.618838e-25"	"10170"
"1466"	"1"	"1"	"4.117716e-03"	"1466"
"6284"	"1"	"1"	"2.061886e-10"	"6284"
"26279"	"1"	"1"	"4.648524e-05"	"26279"
"260436"	"1"	"1"	"5.328234e-03"	"260436"
"9547"	"1"	"1"	"4.734937e-02"	"9547"
"1174"	"1"	"1"	"2.338390e-10"	"1174"
"1514"	"1"	"1"	"2.040128e-01"	"1514"
"79135"	"1"	"1"	"2.036340e-14"	"79135"
"58489"	"1"	"1"	"1.362617e-04"	"58489"
"1072"	"1"	"1"	"4.732164e-18"	"1072"
"192668"	"1"	"1"	"4.057440e-22"	"192668"
"27299"	"1"	"1"	"1.990963e-02"	"27299"
"7844"	"1"	"1"	"1.414586e-08"	"7844"
"768211"	"1"	"1"	"1.537446e-01"	"768211"
"51083"	"1"	"1"	"3.996921e-13"	"51083"
"57216"	"1"	"1"	"4.847801e-12"	"57216"
"8350"	"1"	"1"	"5.004249e-18"	"8350"
"967"	"1"	"1"	"2.265290e-05"	"967"
"30061"	"1"	"1"	"8.611829e-02"	"30061"
"25874"	"1"	"1"	"1.512193e-11"	"25874"
"389"	"1"	"1"	"8.177661e-18"	"389"
"51735"	"1"	"1"	"4.438292e-08"	"51735"
"10362"	"1"	"1"	"3.620424e-13"	"10362"
"5445"	"1"	"1"	"9.334549e-20"	"5445"
"56256"	"1"	"1"	"1.757330e-08"	"56256"
"27333"	"1"	"1"	"7.641443e-12"	"27333"
"3001"	"1"	"1"	"3.036883e-02"	"3001"
"914"	"1"	"1"	"3.588291e-01"	"914"
"29893"	"1"	"1"	"3.147832e-04"	"29893"
"115548"	"1"	"1"	"7.401648e-13"	"115548"
"6660"	"1"	"1"	"1.512193e-11"	"6660"
"2034"	"1"	"1"	"2.578132e-02"	"2034"
"84886"	"1"	"1"	"1.851679e-01"	"84886"
"1278"	"1"	"1"	"4.833687e-01"	"1278"
"716"	"1"	"1"	"2.865147e-03"	"716"
"313"	"1"	"1"	"3.369798e-02"	"313"
"26088"	"1"	"1"	"1.000806e-09"	"26088"
"7106"	"1"	"1"	"3.225658e-01"	"7106"
"8366"	"1"	"1"	"1.026518e-19"	"8366"
"5878"	"1"	"1"	"9.132012e-09"	"5878"
"7305"	"1"	"1"	"3.780325e-03"	"7305"
"4323"	"1"	"1"	"6.062798e-04"	"4323"
